Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
54102727,Siren Queen,Nghi Vo,"Vo, Nghi",,1250788854,9781250788856,0,3.68,Tor.com,Kindle Edition,281,2022,2022,,2022/09/06,to-read,to-read (#247),to-read,,,,0,0
58446244,When We Lost Our Heads,Heather O'Neill,"O'Neill, Heather",,0593422902,9780593422908,0,3.96,Riverhead Books,Hardcover,448,2022,2022,,2022/09/06,to-read,to-read (#246),to-read,,,,0,0
53331570,Girly Drinks: A World History of Women and Alcohol,Mallory O'Meara,"O'Meara, Mallory",,1335282408,9781335282408,4,4.17,Hanover Square Press,Hardcover,384,2021,2021,2022/09/05,2021/10/28,,,read,,,,1,0
54785515,Four Thousand Weeks: Time Management for Mortals,Oliver Burkeman,"Burkeman, Oliver",,0374159122,9780374159122,0,4.21,"Farrar, Straus and Giroux",Hardcover,271,2021,2021,,2022/08/17,to-read,to-read (#245),to-read,,,,0,0
51174256,The Immortality Key: Uncovering the Secret History of the Religion with No Name,Brian C. Muraresku,"Muraresku, Brian C.",,1250207142,9781250207142,0,4.25,St. Martin's Press,Hardcover,352,2020,2020,,2022/08/14,to-read,to-read (#244),to-read,,,,0,0
38212132,"Black Flags, Blue Waters: The Epic History of America's Most Notorious Pirates",Eric Jay Dolin,"Dolin, Eric Jay",,1631492101,9781631492105,0,3.76,Liveright,Hardcover,380,2018,2018,,2022/08/14,to-read,to-read (#243),to-read,,,,0,0
59838811,Upgrade,Blake Crouch,"Crouch, Blake",,0593157532,9780593157534,0,3.81,Ballantine Books,Hardcover,352,2022,2022,,2022/08/12,to-read,to-read (#242),to-read,,,,0,0
651642,"If a Pirate I Must Be: The True Story of Black Bart, ""King of the Caribbean Pirates""",Richard   Sanders,"Sanders, Richard",,1602390193,9781602390195,3,3.94,Skyhorse,Hardcover,278,2007,2007,2022/08/05,2022/07/11,,,read,,,,1,0
12993106,"Days of Destruction, Days of Revolt",Chris Hedges,"Hedges, Chris",Joe Sacco,1568586434,9781568586434,0,4.17,Nation Books,Hardcover,302,2012,2012,,2022/07/22,to-read,to-read (#241),to-read,,,,0,0
37903770,Norse Mythology,Neil Gaiman,"Gaiman, Neil",,,,0,4.10,W. W. Norton & Company,Paperback,301,2018,2017,,2022/07/21,to-read,to-read (#240),to-read,,,,0,0
58725025,"Ordinary Monsters (The Talents Trilogy, #1)",J.M. Miro,"Miro, J.M.",,1250833663,9781250833662,0,3.79,Flatiron Books,Hardcover,672,2022,2022,,2022/07/20,to-read,to-read (#239),to-read,,,,0,0
14497,"Neverwhere (London Below, #1)",Neil Gaiman,"Gaiman, Neil",,0060557818,9780060557812,0,4.17,William Morrow Paperbacks,Paperback,370,2003,1996,,2022/07/20,to-read,to-read (#238),to-read,,,,0,0
41716919,"Jade War (The Green Bone Saga, #2)",Fonda Lee,"Lee, Fonda",,0316440922,9780316440929,5,4.41,Orbit,Hardcover,587,2019,2019,2022/07/15,2022/04/12,,,read,,,,1,0
12917506,The Making of Prince of Persia,Jordan Mechner,"Mechner, Jordan",,,,0,4.09,,Kindle Edition,332,2011,2011,,2022/07/12,to-read,to-read (#237),to-read,,,,0,0
27414415,Tetris: The Games People Play,"Brian ""Box"" Brown","Brown, Brian ""Box""",,162672315X,9781626723153,0,3.79,First Second,Paperback,253,2016,2016,,2022/07/12,to-read,to-read (#236),to-read,,,,0,0
397483,"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America",Erik Larson,"Larson, Erik",,0609608444,9780609608449,0,4.00,Crown Publishers,Hardcover,464,2003,2003,,2022/07/07,to-read,to-read (#235),to-read,,,,0,0
58082714,The Nineties,Chuck Klosterman,"Klosterman, Chuck",,0735217955,9780735217959,4,3.87,Penguin Press,Hardcover,370,2022,2022,2022/07/03,2022/04/17,,,read,,,,1,0
827,"The Diamond Age: Or, a Young Lady's Illustrated Primer",Neal Stephenson,"Stephenson, Neal",,0553380966,9780553380965,0,4.16,Spectra,Paperback,499,2000,1995,,2022/06/30,to-read,to-read (#234),to-read,,,,0,0
35957157,Thinking in Bets: Making Smarter Decisions When You Don't Have All the Facts,Annie Duke,"Duke, Annie",,0735216355,9780735216358,0,3.83,Portfolio,Hardcover,288,2018,2018,,2022/06/28,to-read,to-read (#233),to-read,,,,0,0
394535,"Blood Meridian, or, the Evening Redness in the West",Cormac McCarthy,"McCarthy, Cormac",,,,0,4.16,Vintage Books,Paperback,351,2010,1985,,2022/06/25,to-read,to-read (#232),to-read,,,,0,0
39018271,Batman: The Court of Owls Saga,Scott Snyder,"Snyder, Scott",Greg Capullo,1401284337,9781401284336,0,4.34,Dc Comics,Paperback,320,2018,,,2022/06/24,to-read,to-read (#231),to-read,,,,0,0
20821373,The End of Absence: Reclaiming What We've Lost in a World of Constant Connection,Michael  Harris,"Harris, Michael",,1591846935,9781591846932,0,3.64,Current,Hardcover,243,2014,2014,,2022/06/24,to-read,to-read (#230),to-read,,,,0,0
106076,Batman: Dark Victory,Jeph Loeb,"Loeb, Jeph",Tim Sale,1563898683,9781563898686,0,4.17,Dc Comics,Paperback,391,2001,2000,,2022/06/24,to-read,to-read (#229),to-read,,,,0,0
59980,Batman: Year One,Frank Miller,"Miller, Frank","David Mazzucchelli, Richmond Lewis, Dennis O'Neil, Todd Klein",1401207529,9781401207526,0,4.24,DC Comics,Paperback,144,2007,1988,,2022/06/24,to-read,to-read (#228),to-read,,,,0,0
53205876,"The Library of the Dead (Edinburgh Nights, #1)",T.L. Huchu,"Huchu, T.L.",,1250767768,9781250767769,3,3.49,Tor Books,Hardcover,330,2021,2021,2022/06/18,2022/04/16,,,read,,,,1,0
44144499,Monolith to Microservices: Evolutionary Patterns to Transform Your Monolith,Sam Newman,"Newman, Sam",,1492047848,9781492047841,0,4.30,O'Reilly Media,Paperback,255,2019,,,2022/06/14,to-read,to-read (#227),to-read,,,,0,0
17245,Dracula,Bram Stoker,"Stoker, Bram","Rubén Toledo, Nina Auerbach, David J. Skal",0393970124,9780393970128,0,4.02,Norton,Paperback,488,1986,1897,,2022/06/03,to-read,to-read (#226),to-read,,,,0,0
56269264,The Dawn of Everything: A New History of Humanity,David Graeber,"Graeber, David",David Wengrow,0374157359,9780374157357,0,4.20,"Farrar, Straus and Giroux",Hardcover,692,2021,2021,,2022/06/03,to-read,to-read (#225),to-read,,,,0,0
31548,Of Human Bondage,W. Somerset Maugham,"Maugham, W. Somerset","Maeve Binchy, Benjamin DeMott",0451530179,9780451530172,0,4.15,Signet,Mass Market Paperback,684,2007,1915,,2022/05/20,to-read,to-read (#224),to-read,,,,0,0
